texts,created_at,location
"@kaushikcbasu Exactly. The Muslim should not pelt stones , tolerate Hindu festivals and respect others. Will you ever be able to say this.",2022-10-06,
"@CoClarified @OregonSOS I can tell you one thing, no way in hell they'd do something similar with Islam. They act like they could never be held to account for the incentives they are putting into place.",2022-10-06,The Crossroads of Irony & Pith
@SonOfJenin i saw egyptian and syrian christians using  inshaallah  mashaallah  as frequently as muslims use,2022-10-06,karachi
"People must cease to neglect the Friday prayer or Allah will seal their hearts and then they will be among the negligent.

[Muslim]",2022-10-06,
@steve_hanke Wrong. But it will happen again as long as the Muslims cannot help themselves. They have a choice.,2022-10-06,
@SophieHRW @andreasharsono @hrw @hrw_chinese That's bcs Muslims see through yr white lies. #CryAbIt. I am a Muslim and I with my fellow Muslims see through yr lies after lies after lies. Allahu Akhbar,2022-10-06,
"Another thing that bugs me all over again: the show makes such a big deal about Ramy being Muslim, but he’s committing a major sin all the time! 

And yeah, I don’t get why anyone would give that unwashed creep the opportunity…",2022-10-06,"Around, somewhere"
"@AnasMallick So Islamic republic of #Pakistan has sided with Anti Islamic Chinese who are persecuting millions of Muslim uyghars &amp; Islam in China, What a shameful act",2022-10-06,"Melbourne, Victoria"
@BillShedd @CodyIsAGoodBoy @LukeDa58 @ACTBrigitte I think all religions should be taught as a part of history —all they teach now is whitewashed political history devoid of real context.  My upper El students LOVED history — they studied the timeline of civilizations from early humans through the rise of Islam in the Middle Ages,2022-10-06,"New York, USA"
"I spent most of my days in the Northeast India and my religion seldom mattered but moving to mainland Capital, the first very day I was strangely questioned whether I am a Muslim and the person (school junior) better named me a Mullah then after🤷",2022-10-06,"New Delhi, India"
"DR Congo: Muslims hack 14 people to death with machetes, torch 36 homes in jihad raid on village https://t.co/4gS3YfJki4",2022-10-06,"Falköping, Sverige"
@YasMohammedxx Men like him are why Iranians are walking away from Islam,2022-10-06,USA
"@Millenial_108 @imsharif87 @DOGA75656205 @HSajwanization @amritabhinder @khaleejtimes For Muslim, this world is testing ground and our real home is heaven/ hell. If we muslim do good deed then we will get heaven after spending million years of punishment in hell as we are doing sin every hour .",2022-10-06,Dhaka
